bulk_symbols,structure
Ti12 O20,"Full Formula (Ti6 O10)
Reduced Formula: Ti3O5
abc   :   3.771453   5.263894  10.011514
angles:  89.999763  89.999788 111.006049
pbc   :       True       True       True
Sites (16)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ti    0.300712  0.601299  0.249984     0.698
  1  Ti    0.699289  0.398701  0.750016     0.698
  2  Ti    0.630111  0.260428  0.058092     0.59
  3  Ti    0.369889  0.739572  0.941908     0.59
  4  Ti    0.369899  0.739593  0.558094     0.591
  5  Ti    0.630101  0.260407  0.441906     0.591
  6  O     0.270909  0.541867  0.750036     0.003
  7  O     0.729091  0.458133  0.249964     0.003
  8  O     0.552051  0.104243  0.877412    -0.032
  9  O     0.447949  0.895757  0.122588    -0.032
 10  O     0.447927  0.8957    0.377418    -0.032
 11  O     0.552073  0.1043    0.622582    -0.032
 12  O     0.182746  0.365542  0.432238    -0.004
 13  O     0.817254  0.634458  0.567762    -0.004
 14  O     0.817268  0.634479  0.932289    -0.004
 15  O     0.182732  0.365521  0.067711    -0.004"
Zn4 W4 O16,"Full Formula (Zn2 W2 O8)
Reduced Formula: ZnWO4
abc   :   5.729711   4.676719   4.936454
angles:  89.413888  90.000000  90.000000
pbc   :       True       True       True
Sites (12)
  #  SP           a          b         c    magmom
---  ----  --------  ---------  --------  --------
  0  Zn    0.676357   0.5       0.25            -0
  1  Zn    0.323643   0.5       0.75            -0
  2  W     0.181127  -0         0.25            -0
  3  W     0.818873  -0         0.75            -0
  4  O     0.106433   0.782687  0.935083         0
  5  O     0.106433   0.217313  0.564917         0
  6  O     0.893567   0.217313  0.064917         0
  7  O     0.893567   0.782687  0.435083         0
  8  O     0.37611    0.743073  0.402664        -0
  9  O     0.37611    0.256927  0.097336        -0
 10  O     0.62389    0.256927  0.597336        -0
 11  O     0.62389    0.743073  0.902664        -0"
Ni2 Ag2 O4,"Full Formula (Ni2 Ag2 O4)
Reduced Formula: NiAgO2
abc   :   2.999163   2.999163  12.315127
angles:  90.000000  90.000000 120.000012
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ni    0         0         0.5          1.496
  1  Ni    0         0         0            1.501
  2  Ag    0.666666  0.333332  0.75        -0.118
  3  Ag    0.333334  0.666667  0.25        -0.118
  4  O     0.333334  0.666667  0.418062    -0.173
  5  O     0.666666  0.333332  0.918062    -0.168
  6  O     0.666666  0.333332  0.581938    -0.173
  7  O     0.333334  0.666667  0.081938    -0.168"
Ca4 Se4 O12,"Full Formula (Ca4 Se4 O12)
Reduced Formula: CaSeO3
abc   :   6.393452   6.694465   6.806230
angles:  90.000000  90.000000 102.658141
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ca    0.7253    0.875989  0.871681        -0
  1  Ca    0.2253    0.375989  0.628319        -0
  2  Ca    0.7747    0.624011  0.371681        -0
  3  Ca    0.2747    0.124011  0.128319        -0
  4  Se    0.740908  0.096191  0.337265        -0
  5  Se    0.240908  0.596191  0.162735        -0
  6  Se    0.759092  0.403809  0.837265        -0
  7  Se    0.259092  0.903809  0.662735        -0
  8  O     0.914096  0.311862  0.417308        -0
  9  O     0.585904  0.188138  0.917308        -0
 10  O     0.604835  0.520192  0.686246         0
 11  O     0.414096  0.811862  0.082692        -0
 12  O     0.782648  0.570955  0.027829         0
 13  O     0.085904  0.688138  0.582692        -0
 14  O     0.217352  0.429045  0.972171         0
 15  O     0.104835  0.020192  0.813754         0
 16  O     0.282648  0.070955  0.472171         0
 17  O     0.395165  0.479808  0.313754         0
 18  O     0.895165  0.979808  0.186246         0
 19  O     0.717352  0.929045  0.527829         0"
Li6 Cr2 O8,"Full Formula (Li6 Cr2 O8)
Reduced Formula: Li3CrO4
abc   :   6.288087   5.358589   4.904482
angles:  90.006519  89.999429  89.999855
pbc   :       True       True       True
Sites (16)
  #  SP            a         b         c    magmom
---  ----  ---------  --------  --------  --------
  0  Li     8e-06     0.157581  0.488196     0.005
  1  Li     0.246516  0.334635  0.990574     0
  2  Li     0.253408  0.665442  0.490623     0
  3  Li     0.500007  0.842342  0.988201     0.005
  4  Li     0.74659   0.665422  0.490617     0
  5  Li     0.753479  0.334609  0.990591     0
  6  Cr    -1.4e-05   0.829974  0.998672     1.259
  7  Cr     0.500005  0.170029  0.498631     1.259
  8  O      0.999996  0.132153  0.888479     0.001
  9  O      0.999994  0.817127  0.346094     0.001
 10  O      0.227055  0.686569  0.891098    -0.006
 11  O      0.272887  0.313481  0.391044    -0.006
 12  O      0.499996  0.182881  0.846083     0.001
 13  O      0.499999  0.867805  0.388427     0.001
 14  O      0.727121  0.313435  0.39105     -0.006
 15  O      0.772954  0.686516  0.891089    -0.006"
Al8 Bi4 O18,"Full Formula (Al8 Bi4 O18)
Reduced Formula: Al4Bi2O9
abc   :   5.692085   7.704414   8.134875
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (30)
  #  SP            a          b         c    magmom
---  ----  ---------  ---------  --------  --------
  0  Al     0.5        0.148418  0.838528        -0
  1  Al     0.5        0.851582  0.161472        -0
  2  Al     0.5        0.648418  0.661472        -0
  3  Al     0.5        0.351582  0.338528        -0
  4  Al     0.2605    -0         0.5             -0
  5  Al     0.7395     0.5       0               -0
  6  Al     0.7395    -0         0.5             -0
  7  Al     0.2605     0.5       0               -0
  8  Bi    -0          0.331585  0.666669        -0
  9  Bi    -0          0.668415  0.333331        -0
 10  Bi    -0          0.831585  0.833331        -0
 11  Bi    -0          0.168415  0.166669        -0
 12  O     -0          0.356394  0.933323         0
 13  O     -0          0.643606  0.066677         0
 14  O     -0          0.856394  0.566677         0
 15  O     -0          0.143606  0.433323         0
 16  O      0.5        0.361851  0.914122        -0
 17  O      0.5        0.638149  0.085878        -0
 18  O      0.5        0.861851  0.585878        -0
 19  O      0.5        0.138149  0.414122        -0
 20  O      0.251101   0.874871  0.293173         0
 21  O      0.251101   0.125129  0.706827         0
 22  O      0.748899   0.374871  0.206827         0
 23  O      0.748899   0.625129  0.793173         0
 24  O      0.5       -0         0                0
 25  O      0.5        0.5       0.5              0
 26  O      0.251101   0.374871  0.206827         0
 27  O      0.251101   0.625129  0.793173         0
 28  O      0.748899   0.874871  0.293173         0
 29  O      0.748899   0.125129  0.706827         0"
Rb1 Bi1 O3,"Full Formula (Rb1 Bi1 O3)
Reduced Formula: RbBiO3
abc   :   4.259822   4.259822   4.259822
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Rb    0    0    0           0
  1  Bi    0.5  0.5  0.5         0
  2  O     0.5  0.5  0          -0
  3  O     0.5  0    0.5        -0
  4  O     0    0.5  0.5        -0"
Y4 Al12 O24,"Full Formula (Y2 Al6 O12)
Reduced Formula: YAl3O6
abc   :   7.272666   7.272666   5.887547
angles:  67.406498  67.406498  79.324514
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Y     0.261146  0.738854  0.75            -0
  1  Y     0.738854  0.261146  0.25            -0
  2  Al    0.208081  0.356891  0.24508          0
  3  Al    0.826754  0.173246  0.75            -0
  4  Al    0.356891  0.208081  0.74508          0
  5  Al    0.643109  0.791919  0.25492          0
  6  Al    0.173246  0.826754  0.25            -0
  7  Al    0.791919  0.643109  0.75492          0
  8  O     0.387646  0.27513   0.404022        -0
  9  O     0.843834  0.386975  0.808345        -0
 10  O     0.787548  0.006786  0.080462         0
 11  O     0.27513   0.387646  0.904022         0
 12  O     0.993214  0.212452  0.419538        -0
 13  O     0.613025  0.156166  0.691655        -0
 14  O     0.386975  0.843834  0.308345        -0
 15  O     0.006786  0.787548  0.580462        -0
 16  O     0.72487   0.612354  0.095978         0
 17  O     0.212452  0.993214  0.919538         0
 18  O     0.156166  0.613025  0.191655        -0
 19  O     0.612354  0.72487   0.595978        -0"
V4 Cr4 O16,"Full Formula (V2 Cr2 O8)
Reduced Formula: VCrO4
abc   :   4.971518   4.971518   6.032813
angles:  90.000000  90.000000 111.965733
pbc   :       True       True       True
Sites (12)
  #  SP            a          b         c    magmom
---  ----  ---------  ---------  --------  --------
  0  V      0.643308   0.356692  0.25         0.187
  1  V      0.356692   0.643308  0.75         0.187
  2  Cr    -0         -0         0.5          2.784
  3  Cr    -0         -0         0            2.784
  4  O      0.746159   0.787118  0.75        -0.005
  5  O      0.253841   0.212882  0.25        -0.005
  6  O      0.787118   0.746159  0.25        -0.005
  7  O      0.212882   0.253841  0.75        -0.005
  8  O      0.235395   0.764605  0.971022    -0.033
  9  O      0.764605   0.235395  0.471022    -0.033
 10  O      0.764605   0.235395  0.028978    -0.033
 11  O      0.235395   0.764605  0.528978    -0.033"
Ca4 Sn6 O16,"Full Formula (Ca2 Sn3 O8)
Reduced Formula: Ca2Sn3O8
abc   :   6.523726   6.523726   5.343536
angles:  72.032003  72.032003  58.358826
pbc   :       True       True       True
Sites (13)
  #  SP            a          b         c    magmom
---  ----  ---------  ---------  --------  --------
  0  Ca     0.719906   0.719906  0.344563         0
  1  Ca     0.280094   0.280094  0.655437         0
  2  Sn    -0         -0         0.5             -0
  3  Sn     0.738006   0.261994  0                0
  4  Sn     0.261994   0.738006  0                0
  5  O      0.391314   0.391314  0.94376         -0
  6  O      0.608686   0.608686  0.05624         -0
  7  O      0.898775   0.898775  0.914231        -0
  8  O      0.101225   0.101225  0.085769        -0
  9  O      0.329327   0.888128  0.602318         0
 10  O      0.888128   0.329327  0.602318         0
 11  O      0.111872   0.670673  0.397682         0
 12  O      0.670673   0.111872  0.397682         0"
Ti2 Se4 O12,"Full Formula (Ti2 Se4 O12)
Reduced Formula: Ti(SeO3)2
abc   :   4.764352   6.782562   8.341126
angles:  90.000000  90.000000 110.341591
pbc   :       True       True       True
Sites (18)
  #  SP           a          b          c    magmom
---  ----  --------  ---------  ---------  --------
  0  Ti    0          0.5        0.5             -0
  1  Ti    0.5       -0         -0               -0
  2  Se    0.690447   0.823755   0.358294         0
  3  Se    0.809553   0.676245   0.858294         0
  4  Se    0.309553   0.176245   0.641706         0
  5  Se    0.190447   0.323755   0.141706         0
  6  O     0.741819   0.907476   0.845975        -0
  7  O     0.758181   0.592524   0.345975        -0
  8  O     0.258181   0.092524   0.154025        -0
  9  O     0.241819   0.407476   0.654025        -0
 10  O     0.150432   0.749407   0.947978        -0
 11  O     0.349568   0.750593   0.447978        -0
 12  O     0.089668   0.328538   0.338537        -0
 13  O     0.410332   0.171462   0.838537        -0
 14  O     0.910332   0.671462   0.661463        -0
 15  O     0.589668   0.828538   0.161463        -0
 16  O     0.650432   0.249407   0.552022        -0
 17  O     0.849568   0.250593   0.052022        -0"
Zr6 Ti2 O16,"Full Formula (Zr3 Ti1 O8)
Reduced Formula: Zr3TiO8
abc   :   6.421078   6.421078   6.421078
angles: 133.204695 133.204695  68.332870
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zr    0.25      0.75      0.5             -0
  1  Zr    0.75      0.25      0.5             -0
  2  Zr    0.5       0.5       0               -0
  3  Ti    0         0         0                0
  4  O     0.550259  0.134113  0               -0
  5  O     0.134113  0.550258  0               -0
  6  O     0.865887  0.865887  0.416146        -0
  7  O     0.449742  0.449742  0.583854        -0
  8  O     0.312849  0.867166  0               -0
  9  O     0.867166  0.312849  0               -0
 10  O     0.132834  0.132834  0.445683        -0
 11  O     0.687151  0.687151  0.554317        -0"
Cd2 Cu4 O6,"Full Formula (Cd2 Cu4 O6)
Reduced Formula: CdCu2O3
abc   :   3.680222   4.001793   9.888525
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (12)
  #  SP           a    b         c    magmom
---  ----  --------  ---  --------  --------
  0  Cd    0.303623  0    0               -0
  1  Cd    0.696377  0.5  0.5             -0
  2  Cu    0.167882  0    0.334903        -0
  3  Cu    0.167882  0    0.665097        -0
  4  Cu    0.832118  0.5  0.834903        -0
  5  Cu    0.832118  0.5  0.165097        -0
  6  O     0.439405  0    0.5              0
  7  O     0.876334  0    0.82657         -0
  8  O     0.876334  0    0.17343         -0
  9  O     0.560595  0.5  0                0
 10  O     0.123666  0.5  0.32657         -0
 11  O     0.123666  0.5  0.67343         -0"
Bi1 W2 O8,"Full Formula (Bi2 W4 O16)
Reduced Formula: Bi(WO4)2
abc   :   5.992508   5.190191  11.300557
angles:  64.568816  90.000000  90.000000
pbc   :       True       True       True
Sites (22)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Bi    0.338325  0.5       0.75            -0
  1  Bi    0.661675  0.5       0.25            -0
  2  W     0.16563   0.272494  0.491011        -0
  3  W     0.16563   0.727506  0.008989        -0
  4  W     0.83437   0.727506  0.508989        -0
  5  W     0.83437   0.272494  0.991011        -0
  6  O     0.35387   0.729909  0.878675         0
  7  O     0.35387   0.270091  0.621325         0
  8  O     0.64613   0.270091  0.121325         0
  9  O     0.64613   0.729909  0.378675         0
 10  O     0.896741  0.157614  0.406067         0
 11  O     0.896741  0.842386  0.093933         0
 12  O     0.103259  0.842386  0.593933         0
 13  O     0.103259  0.157614  0.906067         0
 14  O     0.62038   0.254728  0.87838          0
 15  O     0.62038   0.745272  0.62162          0
 16  O     0.37962   0.745272  0.12162          0
 17  O     0.37962   0.254728  0.37838          0
 18  O     0.908068  0.656651  0.894646         0
 19  O     0.091932  0.343349  0.105354         0
 20  O     0.908068  0.343349  0.605354         0
 21  O     0.091932  0.656651  0.394646         0"
Zn1 Sb4 O8,"Full Formula (Zn1 Sb4 O8)
Reduced Formula: Zn(SbO2)4
abc   :   3.255966   8.405409   9.433242
angles:  65.576880  83.289385  84.531711
pbc   :       True       True       True
Sites (13)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zn    0.433039  0.38112   0.825259         0
  1  Sb    0.629981  0.694162  0.485518         0
  2  Sb    0.05117   0.794483  0.811824         0
  3  Sb    0.86264   0.306184  0.130213         0
  4  Sb    0.24909   0.338136  0.471469         0
  5  O     0.785213  0.389385  0.30682         -0
  6  O     0.364742  0.154229  0.233818        -0
  7  O     0.555006  0.927679  0.689502        -0
  8  O     0.134725  0.643117  0.688359        -0
  9  O     0.201168  0.610313  0.381736        -0
 10  O     0.930634  0.259915  0.93804         -0
 11  O     0.665534  0.423835  0.604435        -0
 12  O     0.359464  0.476871  0.024216        -0"
